
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server

  2026-03-02 21:51:30 /admin ..................................... ~ 500.53ms
  2026-03-02 21:51:30 /favicon.ico ..................................... ~ 2s
  2026-03-02 21:51:34 /admin ....................................... ~ 0.26ms
  2026-03-02 21:51:34 /favicon.ico ..................................... ~ 1s
  2026-03-02 21:51:46 /admin ....................................... ~ 0.27ms
  2026-03-02 21:51:47 /admin ....................................... ~ 0.22ms
  2026-03-02 21:51:46 /favicon.ico ............................... ~ 503.15ms
  2026-03-02 21:51:47 /favicon.ico ............................... ~ 502.69ms
  2026-03-02 21:51:48 /admin ....................................... ~ 0.17ms
  2026-03-02 21:51:48 /favicon.ico ............................... ~ 501.91ms
  2026-03-02 21:51:49 /admin ....................................... ~ 0.17ms
  2026-03-02 21:51:49 /favicon.ico ................................. ~ 1.41ms
  2026-03-02 21:51:49 /admin ....................................... ~ 0.17ms
  2026-03-02 21:51:49 /admin ..................................... ~ 502.12ms
  2026-03-02 21:51:50 /admin ..................................... ~ 500.50ms
  2026-03-02 21:51:50 /favicon.ico ................................. ~ 0.05ms
  2026-03-02 21:51:54 /admin ....................................... ~ 1.00ms
  2026-03-02 21:51:54 /favicon.ico ..................................... ~ 1s
  2026-03-02 21:52:16 /admin ....................................... ~ 0.22ms
  2026-03-02 21:52:16 /favicon.ico ..................................... ~ 1s
  2026-03-02 21:52:20 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 21:52:33 /admin ....................................... ~ 0.22ms
  2026-03-02 21:52:33 /favicon.ico ............................... ~ 501.97ms
  2026-03-02 21:55:03 /livewire-b5ae0c61/update .................. ~ 500.70ms
  2026-03-02 21:55:33 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 21:56:03 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 21:56:33 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 21:57:03 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 21:57:33 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 21:58:03 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 21:52:17 .............................................. ~ 9m 33s
  2026-03-02 22:01:51 /livewire-b5ae0c61/update ........................ ~ 1s
  2026-03-02 22:02:33 /livewire-b5ae0c61/update .................. ~ 500.67ms
  2026-03-02 22:03:03 /livewire-b5ae0c61/update .................. ~ 500.54ms
